어플 이름,리뷰 내용,별점,리뷰 작성 시 앱 버전
AI 그림일기,세줄일기 어플에 쓰인 폰트이름이 뭐에요? 폰트가 예뻐서 어플이 더 사는거 같아요^^,4,1.0.8
AI 그림일기,일기장네서 일기를 볼 때 처음 쓴 일기부터 나옵니다. 이거를 최신순으로 설정할 수도 있게 해주세요. 시간역순으로요. ㅎㅎ 가능할까요?,5,1.0.8
AI 그림일기,제 폰이 이상한건지 자꾸 튕기네요...앱깔아놓고 한번도 사용할수 있었던 적이 없어요ㅜㅜ 글쓰기 좋은 앱 같아 쓰고 싶은데...그리고 로그인 하고 들어가서 글을 클릭하면 다시 로그인 창이 뜨네요.....제 폰이 이상한 걸까요...ㅜㅜ 제 폰 기종은 g3비트 입니다,3,1.0.8
AI 그림일기,정말 맘에 들어요!,5,1.0.8
AI 그림일기,프로필 사진을 업로드하려고 사진앨범에서 선택을 눌러서 사진을 선택하면 적용이 되지않고 계속 처음처럼 선택하라는 창만 그대로 있어요ㅠㅠ 프로필 사진을 넣고싶은데 방법을  알려주시면 감사하겠습니다,4,1.0.8
AI 그림일기,한 번 꾸준히 일상을 쌓아가고 싶은 욕심이 나네요! 감사해요~ 열심히 써보겠습니다 :),4,1.0.8
AI 그림일기,짧게 쓸 수 있는게 매력인 것 같아요. 근데 사진 화질 개선이 필요해 보여요. 사진들이 많이 깨지고 색감이 그대로 안 나와서 일기 속 사진 볼 때 속상해오..,5,1.0.8
AI 그림일기,"대박 짱 좋아요. 너무너무너무너무너무너무너무너무너무너무너무너무너무너무 마음에 들어요 ! 간단하면서도 어플 자체의 분위기라던가, 글씨체 모두모두모두모두모두모두모두 마음에 들어요ㅠㅠ",5,1.0.8
AI 그림일기,최고예요^^,5,1.0.8
AI 그림일기,한번 꼭 써보고 싶은 서비스네요.^^,5,1.0.8
AI 그림일기,잠금기능도있으면좋을것같아요~,4,1.0.8
AI 그림일기,세줄로 오늘 하루 중요한 감정을 적고 공유하는게 좋아요  단지 제 일기를 구독을 할 수 있는 사람을 지정할 수 있는 기능이 있었으면 좋겠어요 옛날방식이긴 하지만 일촌같은 터놓고 말할수 있는 감정을 공유할수 있는~ 좋은 앱 사용하게 해주셔서 고맙습니다 :),5,1.0.8
AI 그림일기,로그인창이 오류뜬다 쳐 고치삼ㅋ,1,1.0.8
AI 그림일기,"다만, 휴대폰 용으로만 만든 것인지, 새로버전 밖엔 안되나 봅니다. 요즘은 패드도 많이 나오고 해서 가로버전이 있으면 더욱 활용도가 높은 것 같습니다. 저도 레노버 요가북을 이용하여 사용 중인데 가로버전이 지원되지 않아 있는 키보드도 활용을 못하고 있습니다.  이점만 수정을 해 주시면 더욱 좋을 것 같습니다.  그리고 폰트도 시스템 폰트를 활용할 수 있게 해 주시면 더욱 좋을 것 같습니다.. 그럼 번창하시길....",4,1.0.8
AI 그림일기,막 꾸며야 하고 남들과 비교하게 되는 게 가장 싫은 거 였는데 이 앱은 사진 한장만 올리고 소소하게 세줄로 내 이야기를 쓰면서 다른 분들 이야기도 읽어보고 응원이나 조언도 해줄 수 있다는 점이 정말 큰 매력이라고 생각해요 개발자님도 일일이 답변 달아주시고 노력하시는 모습이 너무 멋있습니다,5,1.0.8
AI 그림일기,어제 깔아서 쓰지 시작했는 데 인터페이스가 심플하고 폰트도 예뻐서 좋네요 ㅎ 그런데 살짝 개선했으면 좋겠다는 게 있어요 1 아래에 어떤 분께서도 말씀하셨지만 사진 없이 글만 쓸 때 세줄그림 없이 심플하게 글만 나오면 좋을 거 같아요 2 제 일기를 구독한 사람의 일기장을 볼 수 있게끔 해주셨으면 좋겠어요~ 알림에 뜬 구독자를 클릭하면 구독하신 분 일기가 아니라 제 일기로 넘어오네요 3 그리고 제 일기장을 구독한 사람을 구독 해제하게 하는 기능도 생겼으면 좋겠어요 비밀 일기장을 쓰고 싶던 거여서 남들과 공유하기가 부끄러워요 ㅠ... 스타트업 회사라고 하셨는 데 많이 번창하셨으면 좋겠네요~,5,1.0.8
AI 그림일기,중복체크 무한로딩되어 사용을 못했네요..,2,
AI 그림일기,사진 하나에 짧은 글 쓸 수 있어서 그때그때 생각 적는데 딱 좋아요. ㅇㅇ의 일기라는 비슷한 사람들의 일기모음 기능이 특이하고 재밌어요. 그런데 요청 사항이 있어요ㅠ 어제부터 알람 확인창이나 내 일기 보기를 들어가면 창이 강제로 꺼져버려요. 다른 사람 일기는 잘 볼수 없는게 제껄 쓸수가 없네요ㅠㅠ 바쁘시겠지만 조치 부탁드립니다,4,1.0.7
AI 그림일기,반드시 성공하셔서 출력 서비스 부탁드립니다 저는 꼭 이용할겁니다. 이제부터 일기를 채우러 가야겠습니다. 화이팅,5,1.0.7
AI 그림일기,정말 다 좋은데 한가지 궁금한게 있습니다. 저만 그런건지 모르겠는데 사용 중 자꾸 프로세서가 중단되었다고 뜨고 꺼져요. 이건 왜 그런건가요?ㅠㅠ 그리고 추가사항으로 비번설정같은 잠금이 있었으면 좋겠습니다. 음 또 사진이 1:1비율만 저장되어서 쪼끔 아쉬워요. 사진을 다담고 싶은데 짤려서ㅋㅋㅋ 원래 이런 글 쓰지도 않는데 너무너무 좋고 잘쓰고있고 앞으로도 쓸것같아서 몇 자 적어봅니다^^,5,1.0.7
AI 그림일기,세줄이다 보니 차근차근 생각해보게 되고 부담스럽지도 않고 딱 좋은 것같아요 차분히 자기전에 쓰면 좋더라고요:)  1인개발자시라는데 이런 퀄리티..컴공학생으로서 감탄하고 갑니다~ 한가지 부탁드릴점은 아무래도 어플 자체의 잠금기능이 있었으면 합니다 아무래도 일기라는건 내생각을 드러내는 글이니까요 감사합니다^^,5,1.0.7
AI 그림일기,사진없이 글만 작성한 일기는 저 세줄그림 대신 글이 가운데로 가도 괜찮을거 같아요. 그러면 나중에 이미지 모아서 개인 소장용 책으로 낼때 더 깔끔하고 예쁠것 같아요. 세줄일기앱이 더 발전에서 앱 자체에서 소장용 개인책을 만드는 상품이 나왔으면 좋겠어요. 그때까지 꾸준히 쓰고 홍보할게요. 그리고 만약에 핸드폰을 바꾸거나 하면 앱 삭제후 동일 아이디로 로그인하면 내용이 유지되는건가요? 아니면 백업기능이 따로 있나요?,5,1.0.7
AI 그림일기,앱 실행할 때 잠금 기능 넣어주세요ㅠㅅㅠ 일기는 저만 보고싶어요,4,1.0.6
AI 그림일기,LG G5쓰는데 제 핸드폰이 문제인가요?똑같은 이름이 얼마나 많은데 이름을 중복검사하면 어떡합니까 중복된 이름이래서 바꿔서 하려고했는데 중복검사하다 잠들뻔했네요 시작도 못해봤네요,1,1.0.6
AI 그림일기,쓸데없이 덧붙인것없이 깔끔한 것이 좋아요. 글쓰고싶도록 폰튼설정도 탁월하신것같구요. 이런 리뷰 잘 안쓰는데 고생하셨습니다. 토닥토닥.,5,1.0.6
AI 그림일기,앞으로 소셜앱 시장에서 대박이 날 듯 합니다. 하지만 작성하려 하니 키보드가 뜨지않는 오류가 생기네요. 얼른 고쳐주셔서 세줄일기 앱 많이 활용하게 해 주세요~,5,1.0.6
AI 그림일기,갤럭시 s6임,4,1.0.6
AI 그림일기,ui가 무척 맘에 듭니다.~ 백업은 어떻게 되나요 ? 기록한 일기는 다운 받을수 있는지 궁금합니다 ~,5,1.0.6
AI 그림일기,개발자분의 지인으로부터 추천받은 앱인데 간단한 일기쓰기 참좋습니다. 아직 초보개발자인 저도 대단하다고 느끼네요.,5,1.0.6
AI 그림일기,1.일기를 날짜순으로 정렬할 수 있는 기능이 있었으면 좋겠어요. 2.사진을 정사각형으로 넣어야 하다보니 사진이 계속 깨져요.인스타사이즈로 정사각형 만든 뒤에 올려도 화질이 깨져요ㅠㅠ,4,1.0.4
AI 그림일기,"우연히 알게되어서 사용하게되었는데, 디자인도 폰트도 취향저격입니다. 근데 혹시 가장 최근글이 제일 먼저 나오게 할 순 없나요? 그냥 저는 그게 좋을것같아서 옵션으로라도 넣어주심 감사^^",5,1.0.4
AI 그림일기,넘 좋은데 사진 화질이 올리면 너무 안좋아져요ㅜㅜ 그거 빼면 넘 심플하니 예쁘고 좋은 어플인거 같아요! 사진화질 좋아지게 해주세요.^^;,4,1.0.4
AI 그림일기,조아,5,1.0.4
AI 그림일기,아이폰은 없나요ㅠㅠ,5,1.0.4
AI 그림일기,좋은 어플을 알게 되어서 기분 좋아요!! 한가지 바램이 있다면^^.. 바탕화면에 깔 수 있는 '세줄일기'만의 예쁜 위젯이 있었으면 좋을 것 같은 바램ㅎㅎ,5,1.0.4
AI 그림일기,다 좋은데 페이지찾기가 없어서 최근걸 보려면 옆으로 계속 넘겨야 하는 점이 아쉬워요 전체 사진을 한 눈에 보이게 하면 찾아보고 싶은 사진을 금방 찾을 수 있을 듯 그외엔 맘에 드는 앱입니다^^,5,1.0.4
AI 그림일기,깔끔하고  일기장답게 조용한 느낌.  질리지않고 꾸준히 쓸 수 있을 것 같아요.많이 많이 발전했으면 좋겠어요.  다만 사진을 그대로 올리지못해 그게 아쉬워요 .그래도 너무좋은 어플 개발에 감사드립니닼ㅋㅋ,5,1.0.4
AI 그림일기,정말,5,1.0.4
AI 그림일기,일겅,5,1.0.4
AI 그림일기,한가지 정말 아쉬운 점이 있다면 사진 업로드 후에 화질이 심각하게 안 좋아진다는 거예요 이 점만 고쳐지면 정말 100% 대만족하고 쓸 수 있을 것 같아요! 좋은 어플 만들어주셔서 정말 감사합니다 :D,5,1.0.4
AI 그림일기,네,5,
AI 그림일기,최근 저의 아들1호 아들2호와의 추억을 세줄일기에 담고 있는데 문득 어느 날 꺼내보기 쉬운 3줄의 매력에 푹 빠져지냅니다 ㅎ,5,1.0.4
AI 그림일기,인터페이스도 깔끔하고 하루일상 간단하게 기록 할 수 있어서 좋아요. 무심코 지나던 하루를 다시한번 되돌아 보게 되요. 다른사람들의 삶도 엿볼수 있어 재밌어요^^ 강추~!!@,5,1.0.3
AI 그림일기,아기 성장일기를 쓰고 싶은데 마음에 드는 어플이 없어서 고르고 있다가 우연찮게    눈에들어온어플!  감성을 자극하는 글씨체와 세줄만 쓸수있다는 매력ㅎㅎ (더 많이 쓰게되면 귀찮아질듯ㅋㅋ)  다 마음에 들어요!,5,1.0.3
AI 그림일기,게으른 제가 일기도 블로그도 안하는데 딱 세줄로 매일 기록하니 좋아용ㅎㅎ,5,
AI 그림일기,아들의 육아일기를 쓰고 싶었는데 마침 이 어플을 사용하게 되었네요~긴글 고민하지 않아도 되고..간편하게 등록 가능하고..UI도 너무 예쁩니다~계속해서 많은 발전 이루길 기원합니다~!!,5,1.0.1
AI 그림일기,너무 마음에 들어서 스스로 어플을 홍보하는건 처음이네요ㅋㅋ  바쁜일상에서  소중한 추억을 만들 수 있다는게 참 좋아요 나중에 보면 얼마나 더 가치 있을지 생각하면 ... 너무나 감사합니다 꾸벅 응원할게요^^!,5,1.0.1
AI 그림일기,멋지다!!!,5,1.0.1
AI 그림일기,전체적으로 로딩속도가 너무느려요 ㅠ,5,1.0.1
AI 그림일기,팬입니당! ㅎㅎㅎ 먼 직장을 다닐때 이동시간에 페북에 올라와있는 영상을 보면 그곳에서 느낀 작가님의?대표님의! 느낌을 고스란히 느낄 수 있어서 너무 좋았어요:-) 그리고 이렇게 세줄일기를 사용할 수 있게 되어서 너무 좋구요ㅎㅎㅎ 근데 어플이름처럼 세줄일기일줄 알았는데 두 줄밖에 못 쓰던데..그거슨 제가 어플치라 그런건가여😢 사용전에 간단하게 사용법을 안내해주는 페이지가 있었으면 좋겠어요! 요게 쪼매 아쉬웠습니다ㅋㅋㅋ아그리고 영상이나 어플에 사용하시는 글씨체는 넘나  취향저격💕👍좋은 하루 보내세요!!,5,1.0.1
AI 그림일기,페이스북에서 처음 알게되고(서로아는 사이가 아니지만) 제 삶에 큰 동기부여가 되고 제 인생의 목표가 바뀌게 된 것 같아요. 항상 감사하게 생각하고 있습니다. 몇개월 전 새로운걸 시작한다는 의미심장한 글을 남기셨었는데 상상과는 전혀 다른 어플이어서 놀랐어요ㅎㅎ 들어와서도 개인 다이어리앱일거라고 생각했는데 다른사람일기를 볼수 있는 책장같은 어플이더라구요. 많이사용할게요! 항상 감사합니다ㅎㅎ..,5,1.0.1
AI 그림일기,"일기가 밀려버리면 그것마저 일이 되어버리는데, 세줄일기로 하루에 한번 짤막하게나마 적어놓으면 정말 좋을 것 같아요. 잘 쓰겠습니다!",5,1.0.1
AI 그림일기,매일 매일 바쁜 일상을 간단하게 적어보는거 좋아요. 사진을 넣을 수 있어서 억지로라도 찍게 되어 기록이 될 것 같아요.,5,1.0.1
AI 그림일기,잘 활용할게용 ^^,5,1.0.1
AI 그림일기,하루하루를 가볍고 이쁘게 기록할 수 있을거 같아요~,5,1.0.1
AI 그림일기,좋은 서비스이네요~^^,5,1.0.1
AI 그림일기,산뜻하고 심플하네요ㅎ,5,1.0.1
AI 그림일기,좋은 앱이네요!! 자주 쓰게 될것 같습니다 ㅎㅎ,5,1.0.1
AI 그림일기,소소하지만 강렬하게 일상을 남기는 앱,5,1.0.1
AI 그림일기,기록하고 싶단 생각은 있었는데 이런 편리한 어플 만들어주셔서 감사합니다^-^,5,1.0.1
AI 그림일기,잘 쓰겠습니다. 내 삶을 기록한다는 것만으로 나중에 뒤돌아봤을때 너무 좋을 것 같아요^^,5,1.0.1
AI 그림일기,간략하게 일기와 사진을 동시에 작성가능한 유용하고 쉬운 어플이네요,5,
AI 그림일기,뭔가 몰라서 그냥 다운받았는대 신세계네요 ㅋㅋ 자주 쓸꺼에요!! 감사합니다,5,1.0.1
AI 그림일기,시작해보니 느낌 좋네요.. 이거 될성부른 떡잎세줄 느낌ㅋㅋㅋ,5,1.0.1
AI 그림일기,소소한 일상에 작지만 소중한 공간이 될것 같습니다~,5,1.0
AI 그림일기,아주 마음에 드네요. 감성 터지는 앱입니다. 친구들에게 알려야겠네요 아주 굳 입니다,5,1.0
AI 그림일기,계속 써야지~,5,1.0
AI 그림일기,나를 돌이켜 볼 수 있는 공간이 필요 했습니다. 멋을 부리지 않아도 좋습니다. 지나가는 이가 본다고 해도 좋습니다. 평범한 이가 쓰는 세줄일기니까요.,5,1.0
AI 그림일기,옛날 방학숙제때 개학전날 2개월치의 일기를 하루에 썼다 세줄일기는 그런 부담없이 그냥 편하게 즐겁게 그래서 넘 행복하다,5,1.0
AI 그림일기,뭔가 나를 돌아보고 추스를수 있게 해주네요. 요즘 참 바쁘고 힘든데 마음의 안식을 얻을 수 있어서 좋습니다. 감사합니다~,5,1.0
AI 그림일기,길지않은글로일상을표현할수있다니너무좋아요!,5,1.0
AI 그림일기,유저들이 어찌사용할지 고려를 잘한것 같네요~ 유용하게 사용하고있습니다.,5,1.0
AI 그림일기,디자인도 심플하고 간단히 쓸수있어서 계속 이용하게될것같아요ㅎㅎ,5,
AI 그림일기,세줄일기를 나만의 방법으로 따라잡기를 시작해본다. 우리 가족의 세줄일기..두근두근. 완전 좋아!,5,1.0
AI 그림일기,은근히 재미지네 요앱,5,1.0
AI 그림일기,"매번 보기만 하던 세줄일기를 나도 써볼 수 있다니 ㅎㅎㅎ 너무 재밌어요~^^  과거사진으로 과거 일기도 쓸 수 있고, 테마별로 여러개를 동시에 쓸 수도 있고~~ 다운로드 기능은 있던데.. 이거 출력해서 앨범으로 만드는 기능도 있으면 좋겠어요. 여기에 일상을 기록하다보면 소장하고 싶어질 것 같아요. ^^",5,1.0
AI 그림일기,제삶을 기록해보겠습니다..!,5,1.0
AI 그림일기,깔끔해서 좋아요. 제가찾던 일상기록앱!,5,1.0
AI 그림일기,간단하게 하루일상을 기록할 수 있어서 참 좋네요. 아들 일상도 함께 기록하고 나중에 크면 책자 만들어줘야 겠어요. 좋은 앱 잘 다운받았습니다. 번창하세요,5,1.0
AI 그림일기,우리 일상의 소소한 추억이야기★,5,1.0
AI 그림일기,짧지만 깊은,5,1.0
AI 그림일기,딱딱한 디지털시대에 때뜻한 감성앱,5,1.0
AI 그림일기,최고,5,
AI 그림일기,매일 바쁘게 돌아가는 일상에서 하루 3분 내 생각을 정리해보는 일기장이 필요했는데 꼭 맞는 앱인것 같다.,5,1.0
AI 그림일기,"다른 곳에서 글을 남길때 길고 수려한 글을 써야한다는 부담감이 이엇는데, 세줄일기에선 그런 부담감없이 짧은 글과 사진 한 장으로 하루를 담아낼 수있어 좋네요! 멋집니다, 만들어주신분들 모두 감사합니다!",5,1.0
AI 그림일기,sns에 익숙하지 않아도 쓰기가 참 편하군요,5,
AI 그림일기,깔끔하고 일기쓰기 편리하게 되어있네요^-^* 분류할 수 있어서 더 좋은 것 같아요!!!!,5,1.0
AI 그림일기,깔끔 간편하네요 일상을 기록하기 가장 좋은 어플인듯요~,5,1.0
세줄일기,이런데 리뷰 첨 써보는데정말 좋아요. 사진과 함께였던 하루를 세 줄로 요약하다 보면 더 깊고 충실하게 정리가 되고 나중에 읽어보면 글만 있는 것보다 더 실감나고 좋네요~ 그런데 글을 수정하고 나면 항상 맨 앞으로 가게 되는건 좀 수정해주시면 더 좋을 것 같아요~^^,5,
세줄일기,"안녕하세요..4년 전부터 잘 쓰고 있던 어플이 요즘들어 계속 불편을 주고 있습니다. 일기를 쓰고 있으면 세줄일기가 응답하지 않음. 화면이 뜨고 타자를 치던 도중에 떠서 앱 닫기를 눌러버리면 쓰고 있던 일기가 다 날아가서 불편합니다. 한 두번은 괜찮았지만 정말 20번 30번 넘어가니 답답하기만 합니다. 또한 처음에 앱에 들어가면 로딩시간이 길고, 사진을 고를 때에도 로딩 시간이 많이 걸립니다..이 어플을 오래 써온만큼 애정도 있고 추억도 많이 담겨 있어 오류를 최대한 빠른 시일 내 해결해 주시길 바랍니다. 감사합니다.",4,2.1.63
세줄일기,"친구들과 가볍게 일상을 공유하는 용도로 요긴히 사용하고 있습니다. 다만 아쉬운 점이 있다면 한 두 달 전부터 세줄일기 글 게시, 댓글, 좋아요 등 알람이 오지 않는 것 같습니다. 비단 저의 경우 뿐이 아니고 친구들도 동일한 현상을 겪고 있고요. 알림 없어도 일기를 꾸준히 잘 쓰러 오는 친구들도 있지만, 누군가가 글을 썼다는 알림이 오면, 무슨 글일지 궁금해 들어와서 댓글도 달고 이참에 본인의 일상을 공유하는 경우가 더 많다고 생각하는데, 알림이 안 오고나서부터 일기장이 활성화되지 않고 있어 아쉬운 마음이 있습니다. 무슨 문제인지 알아봐 주시면 감사드리겠습니다.",4,2.1.63
세줄일기,항상 잘 쓰고 있습니다 감사합니다. 그런데 한 달 전부터인가.. 상대방이 일기를 쓰거나 댓글을 달아도 알림이 오질 않아요. 혹시나 제가 알림을 꺼놨나 싶어서 봤는데 아니었고요. 아래 다른 최근 리뷰들 보니 저만 그런 건 아닌 것 같은데 꼭 좀 확인 부탁드립니다. 알림이 안 오니 불편해요 ㅠㅠ..,5,2.1.63
세줄일기,언제부터인가 같이 쓰는 일기에 서로 댓글을 달거나 일기를 써도 알림이 오지 않아요.,3,2.1.63
세줄일기,아내랑 쓰는 비공개 일기인데 알림이 오지 않고있어요. 물론 알림은 켜둔 상태입니다. 아내도 같은 문제를 겪고있는데 해결바랍니다.,5,
세줄일기,일상 기록용으로 편리해요,5,2.1.63
세줄일기,자신에게 힘이되는 공간입니다,5,2.1.63
세줄일기,5일째 쓰고있는데. 간단하게 써볼라는데 쓰다보니 생각보다 길게쓰게 되네요. 광고 뜨는거와 소리가 갑자기 나는게 좀 아쉽네요,4,2.1.57
세줄일기,간단하게 하루를 기록할수 있어서 너무 좋아요.^^,5,2.1.63
세줄일기,편안하게 이용하기 쉽게 되어있어요 자질구레란 스티커가 없으니 글쓰기에 돟아요,5,2.1.63
세줄일기,수년째 잘 쓰고 있습니다! 근데 며칠 전부터 부부의 비공개 일기에서 서로의 알림이 안떠요~,4,2.1.63
세줄일기,"일기를 쓰면서 어느덧 3년이상을 쓰게 되었습니다. 내가 써온것들이 소중하고,간직할만 하다는것을 느끼게 해준 세줄일기가 고맙고 특별합니다.세줄일기가 사라지지 않길 바랍니다.",5,2.1.63
세줄일기,세줄일기는 꼭 세 줄만 써야하나요? 인스타그램과 연동되나요? 여자 중학생에게 권장할만한지요? 다른 수많은 일기 글쓰기 어플과 다른 특징은 무엇입니까?,3,
세줄일기,세줄밖에 없어 아쉽지만 숨긴글이 있어서 무한으로쓸수있다.고민글을 만들수도있고 공감할수있지만 욕설방지가 되지않아 1점빼겠다.,4,2.1.63
세줄일기,"정말 잘 쓰고있어요! 사진들을 추려서 매년 1권씩 포토앨범을 만들고 있는데, 다른 사진인화 사이트에서는 편집이 복잡하고 어려워서 다른 방법을 알아보던 중 세줄일기 어플을 발견해서 잘 정착해서 쓰고 있습니다. 한가지 건의하고 싶은 것은 포토북 인쇄 질을 좀 올려주셨으면 좋겠어요. 사진인화 전문 업체에서만 만들다가 넘어와서 그런건지 (제 눈이 너무 높아진걸까요.) 그냥 a4용지에 레이저 프린트로 인화해서 제본 뜬 정도밖에 되지 않아서 조금 실망했네요. 세줄일기는 데이터 베이스로 두고 다른사이트에서 포토북 만들어야 하나 생각이 들 정도로요. 얼마든지 더 금액을 지불할 용의가 있습니다. 프리미엄 라인을 추가로 만들어서라도 인화 용지 및 사진 질을 좀 개선 해주셨으면 좋겠습니다.",5,2.1.63
세줄일기,"오랫동안 담백하게 운영하는 플랫폼은 기존 없다고 생각합니다. 하지만 세줄일기 만큼은 배대표님의 나름의 운영철학이 확고하시고 사람중심이 곧 사랑이핵심으로 향하는 근본을 지켜내려하시는 의지가 충분하기에 진심 존경스럽습니다. 영원한것은 없지만 하루하루 영원을 살게해주심에 감사합니다. 물듦,타협,변질 되지않기를 바라",5,2.1.63
세줄일기,오늘 아침부터 앱이 열리지 않습니다 조치할 수 있는 방법이 있나요? 급합니다 껏다 다시 켷는데도 첨 화면 그대로~,5,2.1.63
세줄일기,좋은 어플이에요!!!,5,2.1.63
세줄일기,벌써 5년차 세줄일기 사용자 ㅎㅎ 한번씩 내가 쓴 글을 보면서 지금과 예전을 보며 나를 공감하고 나에게 위로를 건네봅니다.,5,2.1.63
세줄일기,지금 안들어가지는데 확인좀요 ㅠ,5,2.1.63
세줄일기,기록은사람의마음을기름지게합니다. 이팍팍한세상에서짤막한감성을채울수있는습관. 생각없이자극만넘치는세상에서고요히내마음을다독일수있는공간이라서감사합니다♡,5,2.1.63
세줄일기,예전에도 사용하고 지웠다가 이번에 다시 설치했는데 그때와 이메일도 동일한데 그전에 썼던 일기는 사라졌네요... 원래 한번 지우고 다시 설치하면 내용이 삭제되는 건가요,5,2.1.63
세줄일기,좋네,5,
세줄일기,"다른 어플 쓰다가 다시 써보려고 다운 받아서 사용하려는데 예전에 건의한 부분이 아직 그대로네요... 1.사진 고를때 스크롤이 안되는점, 2.날짜를 확인할 수 없는점, 3.사진 수정 불가인점 세가지 중 1.2번이 제일 불편해요. 과거 사진을 등록해서 앨범 만들고싶은데 날짜가 바로 보이지않아서 앨범에서 사진과 날짜를 다시 확인해야해요.. 너무 불편해요. 제발 바꿔주세요ㅠㅠ",2,2.1.63
세줄일기,참 좋은 어플임,5,2.1.63
세줄일기,혹시 책 주문하고 배송현황 알아보고 싶은데 방법은 없나요? 그리고 추가로 어플관련 문의사항은 여기다가 물어보면 될까요? 어플안에서는 Q&A할수 있는 메뉴가 없네요.,4,2.1.63
세줄일기,정말 좋은 어플,5,2.1.63
세줄일기,아주 매력적인 최고의 일기장입니다,5,2.1.63
세줄일기,혹시 내가 쓴 일기장 내에서 검색기능 추가해주실수 있나요? 페이지가 많아지면 읽고싶은 내용을 찾기 힘들어질 것 같아요..,5,2.1.63
세줄일기,간단히 일상을 작성하기에 좋아요 너무 길면 쓰기 힘듦,4,2.1.63
세줄일기,로그인 오류가 자주뜨네요..,3,2.1.63
세줄일기,매우 쓰기 편하고 나이 든 나에게는 보조기억 장치임,5,2.1.63
세줄일기,좋은앱이에요,5,2.1.63
세줄일기,제발 가로 모드여도 쓸 수 있게 해주세요. 태블릿에 키보드를 연결해서 쓰는데 앱이 세로 모드 고정이라 너무 번거롭습니다 ㅠㅠ,5,2.1.63
세줄일기,세줄일기 같이쓰는 일기를 할때 생성한 사람이 맴버들이 쓴 글의 순서를 바꿀수 없나요? 개인은 있던데 같이쓰는 읽기는 순서바꾸기가 안보이네요.,4,2.1.63
세줄일기,저 계정을 잃어버렸는데 어떻게 찾을 수 있을까요? 다시 설정하려는 이메일 자체를 아예 잃어버려서 이도저도 못하고 있어요ㅠㅠ,5,2.1.63
세줄일기,잘 사용하고 있습니다. 일상의 생각정리에 도움이 많이 됩니다.,5,2.1.63
세줄일기,세줄일기 정기결제 취소할때 모바일로 가능한가요? 아니면 전화번호가 있을까요? 나중에 어떡해야 할지 궁금합니다. 쉬운방법을 가르쳐 주세요.,5,2.1.63
세줄일기,평생 간직할 것입니다. 감사합니다,5,2.1.63
세줄일기,일기장 너무 잘 사용하고 있습니다. 다만 태블릿으로 어플 이용시 케이스를 끼우면 가로모드를 사용하게 되는데 이 어플은 회전기능 지원이 없어 이 점이 꽤 불편합니다. 다른 후기들을 확인해보니 저와 같이 태블릿 사용시 가로 모드 미지원에 대한 불편사항이 많아 보이는데 조금 더 빠르게 개선되었으면 하는 마음이 있습니다. 몇 년째 유용하게 사용 중인 어플이라 개선이 잘 되어 더 좋은 추억 기록 어플이 되면 좋겠습니다. 어플 지원에 대해 항상 감사드립니다.,5,2.1.63
세줄일기,새 폰을 사서 로그인해야하는데 전 폰에서 페이스북으로 로그인해서 같은 방법인 페이스북으로 로그인해야만 로그인 가능한데 새폰으로 페이스북 로그인하려고 하는데 앱의 추가 상세 정보를 업데이트 중이어서 현재 페이스북 로그인을 사용할 수 없다고 뜨는데 어떻게 로그인해야 하나요?,5,2.1.63
세줄일기,어느덧 햇수로 6년째 적고 있네요. 이제 습관이 되어버렸어요. 부디 오래오래 운영해 주시길.,5,2.1.63
세줄일기,컨셉 잘 잡았다 근데 사진좀 카테고리 늘려줬으면,5,2.1.63
세줄일기,일기를 쓰고 싶게 만든 공간이예요 초6아들이 담임샘께 배워와서 가족일기장을 만들었어요 마음일기 공유도 되고 나를 돌아보게 되고 좋습니다 감사드립니다,5,2.1.63
세줄일기,"개인적인 기록, 의미를 남기기에 딱 좋아요",5,2.1.63
세줄일기,좋아요. 진짜~~~ 하루하루간단히 내하루를적고 아이들성장일기를적고 반려견성장도적고 ~,5,2.1.63
세줄일기,"매일부담없이 세줄로 하루를 마무리할수있어서 너무 좋아요 다좋은데 한가지단점은,,쓰다가 잠깐 다른어플 들어갔다가 다시 돌아오면 중간에 쓰던거 다날라가고 첫화면부터 다시 새로고침되네요,,ㅜㅜ이거 저만그런건지,,,,?이게넘불편해요",4,2.1.63
세줄일기,어쩜 이리 고객감성에 딱 맞는 어플을 개발하셨는지. 존경합니다.,5,2.1.63
세줄일기,계속 팅겨서 삭제하고 다시 로그인하는데 계속 안되네요...,1,2.1.63
세줄일기,좋아요,5,
세줄일기,"일기 작성 시에 작성일자를 수정할 수 있는데요, 혹시 작성자가 임의로 수정한 일자가 아니라 실제 작성일을 확인할 수 있는 방법이 있을까요?",5,2.1.63
세줄일기,아니 다 좋은데 하루에 알림을 몇 번을 보내는 건가요; 친구가 일기 올렸나 해서 보면 그냥 쓰잘데기 없는 알림이 8할.. 애들끼리 추억용으로 쓰는 건데 알림 설정 끌 수도 없고 불쾌하네요,3,2.1.63
세줄일기,간단하고 쉽게 나의 일상을 기록할 수 있어 아주 좋아요.,5,2.1.63
세줄일기,광고없고 간편하고 pdf로 뺄수있는것 너무 좋아요!!,5,2.1.63
